"title","year","academy_award","academy_nominated","country","palme_dor","golden_lion"
"Anora",2024,1,1,"United States",1,0
"The Brutalist",2024,1,1,NA,0,0
"Emilia Pérez",2024,1,1,NA,0,0
"Wicked",2024,1,1,NA,0,0
"Dune: Part Two",2024,1,1,NA,0,0
"Conclave",2024,1,1,NA,0,0
"The Substance",2024,1,1,NA,0,0
"I'm Still Here",2024,1,1,NA,0,0
"Flow",2024,1,1,NA,0,0
"A Real Pain",2024,1,1,NA,0,0
"No Other Land",2024,1,1,NA,0,0
"I'm Not a Robot",2024,1,1,NA,0,0
"In the Shadow of the Cypress",2024,1,1,NA,0,0
"The Only Girl in the Orchestra",2024,1,1,NA,0,0
"Oppenheimer",2023,1,1,NA,0,0
"Poor Things",2023,1,1,NA,0,1
"The Zone of Interest",2023,1,1,NA,0,0
"American Fiction",2023,1,1,NA,0,0
"Anatomy of a Fall",2023,1,1,"France",1,0
"Barbie",2023,1,1,NA,0,0
"The Boy and the Heron",2023,1,1,NA,0,0
"Godzilla Minus One",2023,1,1,NA,0,0
"The Holdovers",2023,1,1,NA,0,0
"The Last Repair Shop",2023,1,1,NA,0,0
"20 Days in Mariupol",2023,1,1,NA,0,0
"War Is Over! Inspired by the Music of John and Yoko",2023,1,1,NA,0,0
"The Wonderful Story of Henry Sugar",2023,1,1,NA,0,0
"Everything Everywhere All at Once",2022,1,1,NA,0,0
"All Quiet on the Western Front",2022,1,1,NA,0,0
"The Whale",2022,1,1,NA,0,0
"Top Gun: Maverick",2022,1,1,NA,0,0
"Black Panther: Wakanda Forever",2022,1,1,NA,0,0
"Avatar: The Way of Water",2022,1,1,NA,0,0
"Women Talking",2022,1,1,NA,0,0
"Guillermo del Toro's Pinocchio",2022,1,1,NA,0,0
"Navalny",2022,1,1,NA,0,0
"The Elephant Whisperers",2022,1,1,NA,0,0
"An Irish Goodbye",2022,1,1,NA,0,0
"The Boy, the Mole, the Fox and the Horse",2022,1,1,NA,0,0
"RRR",2022,1,1,NA,0,0
"CODA",2021,1,1,NA,0,0
"Dune",2021,1,1,NA,0,0
